species	NCBI.taxid	value	db	life_history_traits
Ailuropoda_melanoleuca	9646	13432	AnAge	lifespan_days
Balaeniceps_rex	33584	13140	ADW	lifespan_days
Theropithecus_gelada	9565	13140	AnAge	lifespan_days
Zalophus_californianus	9704	13030.5	AnAge	lifespan_days
Colobus_angolensis	54131	12884.5	AnAge	lifespan_days
Pelecanus_crispus	36300	12884.5	AnAge;EOL	lifespan_days
Harpia_harpyja	202280	12775	ADW	lifespan_days
Lates_calcarifer	8187	12775	fishbase	lifespan_days
Columba_livia	8932	12775	AnAge;ADW	lifespan_days
Bubalus_bubalis	89462	12738.5	ADW;AnAge	lifespan_days
Callorhinus_ursinus	34884	12600	EOL	lifespan_days
Limosa_lapponica	161683	12410	AnAge;EOL	lifespan_days
Polypterus_senegalus	55291	12410	AnAge;EOL	lifespan_days
Ursus_americanus	9643	12410	AnAge	lifespan_days
Tyto_alba	56313	12410	ADW;AnAge	lifespan_days
Myotis_lucifugus	59463	12410	AnAge	lifespan_days
Fregata_magnificens	37042	12410	AnAge	lifespan_days
Felis_catus	9685	12240	EOL	lifespan_days
Stegostoma_fasciatum	378071	12045	ADW	lifespan_days
Eumetopias_jubatus	34886	11972	AnAge	lifespan_days
Naja_naja	35670	11789.5	AnAge;EOL	lifespan_days
Pantherophis_guttatus	94885	11789.5	ADW	lifespan_days
Lynx_rufus	61384	11789.5	AnAge;ADW	lifespan_days
Phalacrocorax_carbo	9209	11716.5	AnAge	lifespan_days
Pandion_haliaetus	56262	11680	AnAge	lifespan_days
Anseranas_semipalmata	8851	11680	ADW	lifespan_days
Cheilinus_undulatus	241271	11680	fishbase;EOL	lifespan_days
Stercorarius_parasiticus	54059	11550	ADW	lifespan_days
Cervus_elaphus	9860	11497.5	AnAge	lifespan_days
Heterocephalus_glaber	10181	11315	ADW;AnAge	lifespan_days
Propithecus_coquereli	379532	11315	ADW	lifespan_days
Rhinolophus_ferrumequinum	59479	11132.5	AnAge	lifespan_days
Saimiri_boliviensis	27679	11059.5	AnAge	lifespan_days
Xenopus_laevis	8355	11059.5	AnAge	lifespan_days
Spheniscus_magellanicus	37081	10950	AnAge;ADW	lifespan_days
Phacochoerus_africanus	41426	10950	AnAge	lifespan_days
Vombatus_ursinus	29139	10950	AnAge;ADW	lifespan_days
Dicentrarchus_labrax	13489	10950	fishbase;EOL	lifespan_days
Gallus_gallus	9031	10950	ADW;AnAge;EOL	lifespan_days
Dermochelys_coriacea	27794	10950	ADW;AnAge	lifespan_days
Panthera_leo	9689	10950	ADW	lifespan_days
Pteropus_vampyrus	132908	10950	ADW	lifespan_days
Esox_lucius	8010	10950	AnAge;fishbase	lifespan_days
Morone_saxatilis	34816	10950	AnAge;fishbase;ADW	lifespan_days
Cepphus_grylle	28697	10913.5	AnAge	lifespan_days
Orycteropus_afer	9818	10877	AnAge	lifespan_days
Enhydra_lutris	34882	10800	EOL	lifespan_days
Neomonachus_schauinslandi	29088	10800	EOL Monachus schauinslandi	lifespan_days
Rhinopithecus_roxellana	61622	10767.5	AnAge;EOL	lifespan_days
Desmodus_rotundus	9430	10658	AnAge	lifespan_days
Anas_platyrhynchos	8839	10621.5	AnAge	lifespan_days
Canis_lupus	9612	10620	EOL	lifespan_days
Ciccaba_nigrolineata	1118524	10585	ADW	lifespan_days
Labrus_bergylta	56723	10585	AnAge;fishbase;EOL	lifespan_days
Eublepharis_macularius	481883	10402.5	AnAge;EOL	lifespan_days
Rissa_tridactyla	75485	10402.5	AnAge	lifespan_days
Amazona_guildingii	175529	10220	AnAge;EOL	lifespan_days
Lasius_niger	67767	10220	AnAge;EOL	lifespan_days
Amblyraja_radiata	386614	10220	EOL;fishbase	lifespan_days
Pogonomyrmex_barbatus	144034	10220	Ingram 2013	lifespan_days
Mya_arenaria	6604	10220	AnAge	lifespan_days
Oryx_dammah	59534	10037.5	AnAge;ADW	lifespan_days
Spheniscus_demersus	92683	9964.5	AnAge	lifespan_days
Panthera_pardus	9691	9964.5	AnAge	lifespan_days
Balearica_regulorum	925459	9928	AnAge	lifespan_days
Macaca_thibetana	54602	9855	AnAge	lifespan_days
Lontra_canadensis	76717	9855	AnAge	lifespan_days
Platysternon_megacephalum	55544	9855	AnAge;EOL	lifespan_days
Sus_scrofa	9823	9855	AnAge;ADW	lifespan_days
Puma_concolor	9696	9855	AnAge	lifespan_days
Rana_temporaria	8407	9855	AnAge;EOL	lifespan_days
Phasianus_colchicus	9054	9855	AnAge	lifespan_days
Aptenodytes_patagonicus	9234	9855	AnAge	lifespan_days
Cercocebus_atys	9531	9782	ADW	lifespan_days
Lynx_canadensis	61383	9782	AnAge	lifespan_days
Nycticebus_coucang	9470	9672.5	ADW	lifespan_days
Panthera_tigris	9694	9599.5	AnAge	lifespan_days
Trachypithecus_francoisi	54180	9599.5	AnAge;ADW	lifespan_days
Ardeotis_kori	89386	9490	ADW	lifespan_days
Micropterus_dolomieu	147949	9490	AnAge;ADW;fishbase	lifespan_days
Nipponia_nippon	128390	9490	ADW	lifespan_days
Scophthalmus_maximus	52904	9490	AnAge	lifespan_days
Plectropomus_leopardus	160734	9490	AnAge;fishbase;EOL	lifespan_days
Vicugna_pacos	30538	9417	ADW Lama pacos;AnAge	lifespan_days
Sula_dactylatra	56068	9307.5	AnAge	lifespan_days
Ptilonorhynchus_violaceus	28724	9161.5	AnAge	lifespan_days
Falco_peregrinus	8954	9125	AnAge;ADW	lifespan_days
Pheucticus_melanocephalus	371919	9125	AnAge;ADW	lifespan_days
Corvus_hawaiiensis	134902	9125	AnAge;EOL	lifespan_days
Hyaena_hyaena	95912	9125	AnAge	lifespan_days
Clupea_harengus	7950	9125	fishbase	lifespan_days
Falco_cherrug	345164	9125	ADW	lifespan_days
Ictalurus_furcatus	66913	9125	ADW error unit	lifespan_days
Chiloscyllium_plagiosum	36176	9125	AnAge;EOL;fishbase	lifespan_days
Lamprotornis_superbus	245042	9125	AnAge	lifespan_days
Colossoma_macropomum	42526	9125	Animal-world	lifespan_days
Gadus_morhua	8049	9125	AnAge;fishbase	lifespan_days
Struthidea_cinerea	181839	9125	AnAge;ADW	lifespan_days
Rousettus_aegyptiacus	9407	9125	ADW	lifespan_days
Leptonychotes_weddellii	9713	9000	EOL	lifespan_days
Mauremys_reevesii	260615	8833	AnAge;EOL	lifespan_days
Lipotes_vexillifer	118797	8760	AnAge;ADW	lifespan_days
Salvelinus_fontinalis	8038	8760	AnAge;ADW;fishbase	lifespan_days
Serinus_canaria	9135	8760	AnAge;EOL	lifespan_days
Gavia_stellata	37040	8760	AnAge	lifespan_days
Sciurus_carolinensis	30640	8640	EOL	lifespan_days
Gekko_japonicus	146911	8577.5	AnAge Gekko gecko	lifespan_days
Castor_canadensis	51338	8541	AnAge	lifespan_days
Megadyptes_antipodes	37085	8395	ADW	lifespan_days
Dasypus_novemcinctus	9361	8395	ADW	lifespan_days
Odocoileus_virginianus	9874	8395	ADW;AnAge	lifespan_days
Micropterus_salmoides	27706	8395	ADW;AnAge;fishbase	lifespan_days
Leopardus_geoffroyi	46844	8395	AnAge	lifespan_days
Rhinopithecus_bieti	61621	8395	ADW	lifespan_days
Sturnus_vulgaris	9172	8358.5	AnAge	lifespan_days
Callithrix_jacchus	9483	8322	AnAge	lifespan_days
Ovis_aries	9940	8322	ADW;AnAge	lifespan_days
Crotalus_adamanteus	8729	8322	AnAge;EOL	lifespan_days
Neophocaena_asiaeorientalis	189058	8280	EOL Neophocaena phocaenoides	lifespan_days
Mirounga_leonina	9715	8280	EOL	lifespan_days
Ornithorhynchus_anatinus	9258	8249	AnAge	lifespan_days
Ophiophagus_hannah	8665	8212.5	AnAge;EOL	lifespan_days
Arenaria_interpres	54971	8139.5	AnAge	lifespan_days
Egretta_garzetta	188379	8139.5	AnAge;EOL	lifespan_days
Mauremys_mutica	74926	8066.5	AnAge;EOL	lifespan_days
Phascolarctos_cinereus	38626	8066.5	AnAge	lifespan_days
Accipiter_gentilis	8957	8030	AnAge	lifespan_days
Pecten_maximus	6579	8030	EOL	lifespan_days
Electrophorus_electricus	8005	8030	ADW	lifespan_days
Perca_fluviatilis	8168	8030	AnAge;fishbase;EOL	lifespan_days
Capra_hircus	9925	8030	ADW	lifespan_days
Lutra_lutra	9657	8030	ADW	lifespan_days
Budorcas_taxicolor	37181	7993.5	AnAge	lifespan_days
Rangifer_tarandus	9870	7957	AnAge	lifespan_days
Vulpes_vulpes	9627	7774.5	AnAge	lifespan_days
Marmota_flaviventris	93162	7738	AnAge	lifespan_days
Piliocolobus_tephrosceles	591936	7738	ADW format	lifespan_days
Apus_apus	8895	7701.5	AnAge	lifespan_days
Pontoporia_blainvillei	48723	7665	ADW	lifespan_days
Ctenopharyngodon_idella	7959	7665	AnAge;EOL;fishbase	lifespan_days
Melopsittacus_undulatus	13146	7665	AnAge;ADW	lifespan_days
Cathartes_aura	43455	7592	AnAge	lifespan_days
Suricata_suricatta	37032	7519	ADW;AnAge	lifespan_days
Caloenas_nicobarica	187106	7482.5	AnAge;EOL	lifespan_days
Acinonyx_jubatus	32536	7482.5	AnAge	lifespan_days
Pteropus_alecto	9402	7409.5	AnAge	lifespan_days
Rynchops_niger	227184	7373	AnAge	lifespan_days
Mirounga_angustirostris	9716	7305	EOL	lifespan_days
Ovis_ammon	30527	7300	ADW	lifespan_days
Albula_goreensis	1534307	7300	ADW	lifespan_days
Eudyptes_schlegeli	57240	7300	ADW	lifespan_days
Corvus_brachyrhynchos	85066	7300	AnAge	lifespan_days
Agelaius_phoeniceus	39638	7300	AnAge;ADW	lifespan_days
Lottia_gigantea	225164	7300	ADW	lifespan_days
Bombina_bombina	8345	7300	AnAge;EOL	lifespan_days
Otolemur_garnettii	30611	7300	AnAge	lifespan_days
Bos_taurus	9913	7300	AnAge;ADW	lifespan_days
Oxyura_jamaicensis	8884	7300	AnAge	lifespan_days
Eudyptes_filholi	1419345	7300	ADW Eudyptes schlegeli	lifespan_days
Bos_indicus	9915	7300	AnAge Bos taurus	lifespan_days
Manis_javanica	9974	7300	ADW Manis crassicaudata	lifespan_days
Bothrops_jararaca	8724	7300	ADW	lifespan_days
Thamnophis_sirtalis	35019	7300	ADW	lifespan_days
Paragonimus_kellicotti	100269	7300	ADW text	lifespan_days
Paragonimus_westermani	34504	7300	ADW	lifespan_days
Chinchilla_lanigera	34839	7300	ADW text	lifespan_days
Thunnus_maccoyii	8240	7300	AnAge;fishbase;EOL	lifespan_days
Prionailurus_bengalensis	37029	7300	ADW	lifespan_days
Dromaius_novaehollandiae	8790	7300	ADW	lifespan_days
Eptesicus_fuscus	29078	7200	EOL	lifespan_days
Gulo_gulo	48420	7117.5	AnAge	lifespan_days
Podiceps_cristatus	345573	7008	AnAge	lifespan_days
Artibeus_jamaicensis	9417	7008	AnAge	lifespan_days
Chionoecetes_opilio	41210	6935	ADW	lifespan_days
Echinops_telfairi	9371	6935	AnAge	lifespan_days
Meles_meles	9662	6935	ADW	lifespan_days
Muntiacus_muntjak	9888	6862	AnAge	lifespan_days
Puma_yagouaroundi	1608482	6789	AnAge	lifespan_days
Sagittarius_serpentarius	56258	6789	ADW	lifespan_days
Patagioenas_fasciata	372321	6752.5	AnAge;EOL	lifespan_days
Microcebus_murinus	30608	6643	AnAge	lifespan_days
Marmota_marmota	9993	6570	ADW	lifespan_days
Phyllostomus_hastatus	9423	6570	AnAge;ADW	lifespan_days
Scomber_japonicus	13676	6570	AnAge;EOL;fishbase	lifespan_days
Protopterus_annectens	7888	6570	AnAge;EOL	lifespan_days
Lepisosteus_oculatus	7918	6570	AnAge;fishbase;ADW	lifespan_days
Menura_novaehollandiae	47692	6533.5	AnAge	lifespan_days
Thamnophis_elegans	35005	6497	AnAge	lifespan_days
Panthera_uncia	29064	6480	EOL Uncia uncia	lifespan_days
Oryctolagus_cuniculus	9986	6480	EOL	lifespan_days
Prionailurus_viverrinus	61388	6278	AnAge	lifespan_days
Merops_nubicus	57421	6205	ADW	lifespan_days
Acanthaster_planci	133434	6205	ADW text	lifespan_days
Sander_lucioperca	283035	6205	EOL;fishbase	lifespan_days
Molothrus_ater	84834	6168.5	ADW;AnAge	lifespan_days
Corvus_cornix	181096	6132	AnAge;EOL	lifespan_days
Nyctereutes_procyonoides	34880	6059	AnAge	lifespan_days
Orthonyx_spaldingii	38397	6022.5	AnAge	lifespan_days
Anhinga_anhinga	56067	5986	AnAge;ADW	lifespan_days
Vulpes_lagopus	494514	5949.5	AnAge;ADW	lifespan_days
Clarias_magur	1594786	5913	ADW Clarias batrachus	lifespan_days
Loxia_curvirostra	64802	5876.5	AnAge	lifespan_days
Ostrea_edulis	37623	5840	AnAge	lifespan_days
Mugil_cephalus	48193	5840	AnAge;fishbase	lifespan_days
Hirundo_rustica	43150	5840	AnAge	lifespan_days
Carlito_syrichta	1868482	5840	AnAge	lifespan_days
Lithobates_catesbeianus	8400	5840	AnAge;ADW	lifespan_days
Pygoscelis_adeliae	9238	5840	ADW	lifespan_days
Trichosurus_vulpecula	9337	5803.5	AnAge	lifespan_days
Aphelocoma_coerulescens	39617	5767	ADW	lifespan_days
Parus_major	9157	5621	AnAge;EOL	lifespan_days
Crotalus_tigris	88082	5584.5	AnAge	lifespan_days
Clarias_gariepinus	13013	5475	fishbase	lifespan_days
Synchiropus_splendidus	270530	5475	ADW	lifespan_days
Chaetura_pelagica	8897	5475	AnAge	lifespan_days
Astyanax_mexicanus	7994	5475	AnAge	lifespan_days
Seriola_dumerili	41447	5475	fishbase;EOL	lifespan_days
Leiothrix_lutea	36275	5475	AnAge;EOL	lifespan_days
Callorhinchus_milii	7868	5475	ADW	lifespan_days
Acromyrmex_echinatior	103372	5475	Romiguier 2014	lifespan_days
Atta_cephalotes	12957	5475	ADW Atta sexdens	lifespan_days
Camarhynchus_parvulus	87175	5475	AnAge	lifespan_days
Coptotermes_formosanus	36987	5475	ADW	lifespan_days
Eurypyga_helias	54383	5475	AnAge;EOL	lifespan_days
Lagopus_leucura	30410	5475	AnAge;EOL	lifespan_days
Chanos_chanos	29144	5475	AnAge;fishbase;ADW	lifespan_days
Zonotrichia_albicollis	44394	5438.5	AnAge	lifespan_days
Cavia_porcellus	10141	5402	ADW	lifespan_days
Oriolus_oriolus	181099	5402	AnAge;EOL	lifespan_days
Cyanistes_caeruleus	156563	5329	AnAge;EOL	lifespan_days
Notechis_scutatus	8663	5146.5	AnAge;EOL	lifespan_days
Herpetotheres_cachinnans	56343	5110	ADW	lifespan_days
Octodon_degus	10160	5110	AnAge	lifespan_days
Mustela_putorius	9668	5110	ADW	lifespan_days
Todus_mexicanus	135184	5110	AnAge	lifespan_days
Marmota_monax	9995	5110	AnAge;ADW	lifespan_days
Erinaceus_europaeus	9365	5040	EOL	lifespan_days
Motacilla_alba	45807	5000.5	AnAge;EOL	lifespan_days
Tympanuchus_pallidicinctus	109042	4927.5	AnAge	lifespan_days
Bombycilla_garrulus	125297	4927.5	AnAge	lifespan_days
Falco_rusticolus	120794	4927.5	AnAge;EOL	lifespan_days
Passer_montanus	9160	4781.5	AnAge	lifespan_days
Chlorocebus_sabaeus	60711	4745	ADW	lifespan_days
Meleagris_gallopavo	9103	4745	AnAge;ADW	lifespan_days
Cryptotermes_secundus	105785	4745	Monroy 2019	lifespan_days
Cyclopterus_lumpus	8103	4745	EOL;fishbase	lifespan_days
Miniopterus_natalensis	291302	4745	www.ewt.org.za	lifespan_days
Lynx_pardinus	191816	4745	ADW	lifespan_days
Salmo_salar	8030	4745	ADW;AnAge;fishbase	lifespan_days
Alosa_sapidissima	34773	4745	AnAge;fishbase	lifespan_days
Sarcophilus_harrisii	9305	4745	AnAge	lifespan_days
Sitta_europaea	50251	4708.5	AnAge;EOL	lifespan_days
Cuculus_canorus	55661	4708.5	AnAge;ADW	lifespan_days
Melozone_crissalis	40204	4672	AnAge	lifespan_days
Dipodomys_spectabilis	105255	4635.5	AnAge;ADW	lifespan_days
Quiscalus_mexicanus	64278	4562.5	AnAge;ADW	lifespan_days
Lanius_ludovicianus	28713	4562.5	AnAge	lifespan_days
Mustela_erminea	36723	4562.5	AnAge;ADW	lifespan_days
Alectura_lathami	81907	4562.5	AnAge;EOL	lifespan_days
Indicator_indicator	1002788	4380	ADW	lifespan_days
Seriola_aureovittata	2871759	4380	ADW;fishbase	lifespan_days
Charadrius_vociferus	50402	4380	ADW	lifespan_days
Leucoraja_erinacea	7782	4380	fishbase	lifespan_days
Pogona_vitticeps	103695	4380	AnAge;EOL	lifespan_days
Seriola_lalandi	302047	4380	ADW;fishbase	lifespan_days
Scyliorhinus_canicula	7830	4380	AnAge;fishbase;EOL	lifespan_days
Taeniopygia_guttata	59729	4380	AnAge;ADW	lifespan_days
Perca_flavescens	8167	4380	AnAge;ADW	lifespan_days
Falcunculus_frontatus	254539	4343.5	AnAge	lifespan_days
Spizella_passerina	40210	4307	AnAge	lifespan_days
Lagopus_muta	64668	4270.5	AnAge	lifespan_days
Colius_striatus	57412	4197.5	AnAge;EOL	lifespan_days
Melospiza_melodia	44397	4124.5	AnAge	lifespan_days
Pycnonotus_jocosus	182897	4051.5	AnAge;EOL	lifespan_days
Aegithalos_caudatus	73327	4051.5	AnAge	lifespan_days
Upupa_epops	57439	4051.5	AnAge;EOL	lifespan_days
Athene_cunicularia	194338	4015	AnAge;ADW	lifespan_days
Empidonax_traillii	164674	4015	AnAge;ADW	lifespan_days
Petromyzon_marinus	7757	4015	fishbase	lifespan_days
Calidris_pugnax	198806	4015	https://www.oiseaux.net/	lifespan_days
Catharus_ustulatus	91951	4015	ADW;AnAge;EOL	lifespan_days
Oncorhynchus_mykiss	8022	4015	ADW;AnAge;fishbase	lifespan_days
Sparus_aurata	8175	4015	AnAge;fishbase;EOL	lifespan_days
Falco_naumanni	148594	3978.5	AnAge;EOL	lifespan_days
Hippolais_icterina	68497	3942	AnAge;EOL	lifespan_days
Neotoma_lepida	56216	3832.5	AnAge;ADW	lifespan_days
Aix_galericulata	8832	3796	AnAge;EOL	lifespan_days
Catharus_fuscescens	159581	3686.5	AnAge;EOL	lifespan_days
Oenanthe_oenanthe	279966	3686.5	AnAge;EOL	lifespan_days
Malurus_elegans	720584	3650	AnAge	lifespan_days
Ameiurus_melas	219545	3650	AnAge;ADW;fishbase	lifespan_days
Labeo_rohita	84645	3650	AnAge;EOL;fishbase	lifespan_days
Amphiprion_ocellaris	80972	3650	ADW	lifespan_days
Pangasianodon_gigas	30993	3650	EOL;fishbase	lifespan_days
Lonchura_striata	40157	3650	AnAge;EOL	lifespan_days
Monodelphis_domestica	13616	3650	ADW	lifespan_days
Camponotus_floridanus	104421	3650	ADW Camponotus pennsylvanicus	lifespan_days
Podarcis_muralis	64176	3650	AnAge;EOL	lifespan_days
Asterias_rubens	7604	3650	http://www.marlin.ac.uk/	lifespan_days
Anolis_carolinensis	28377	3650	ADW	lifespan_days
Chelmon_rostratus	109905	3650	AnAge;EOL;fishbase	lifespan_days
Carassius_gibelio	101364	3650	EOL;fishbase	lifespan_days
Alosa_alosa	278164	3650	AnAge;fishbase;EOL	lifespan_days
Trematomus_bernacchii	40690	3650	AnAge;fishbase;EOL	lifespan_days
Eudyptes_chrysocome	79626	3650	ADW	lifespan_days
Passerina_amoena	142471	3613.5	AnAge;EOL;ADW text	lifespan_days
Dipodomys_ordii	10020	3613.5	AnAge	lifespan_days
Mesocricetus_auratus	10036	3600	EOL	lifespan_days
Ficedula_albicollis	59894	3577	AnAge;EOL	lifespan_days
Drymodes_brunneopygia	626378	3540.5	AnAge	lifespan_days
Cettia_cetti	68486	3394.5	AnAge;EOL	lifespan_days
Thryothorus_ludovicianus	74200	3358	AnAge	lifespan_days
Dreissena_polymorpha	45954	3285	ADW text	lifespan_days
Geococcyx_californianus	8947	3285	AnAge	lifespan_days
Phyllostomus_discolor	89673	3285	AnAge	lifespan_days
Siniperca_chuatsi	119488	3285	fishbase;EOL	lifespan_days
Thunnus_albacares	8236	3285	AnAge;fishbase;EOL	lifespan_days
Oreochromis_niloticus	8128	3285	AnAge;fishbase;EOL	lifespan_days
Oncorhynchus_tshawytscha	74940	3285	AnAge;fishbase;ADW	lifespan_days
Calypte_anna	9244	3102.5	AnAge;ADW	lifespan_days
Perognathus_longimembris	38669	3029.5	AnAge	lifespan_days
Pomatostomus_ruficeps	9176	3029.5	AnAge	lifespan_days
Peromyscus_maniculatus	10042	3029.5	ADW;AnAge	lifespan_days
Certhia_familiaris	73333	2993	AnAge	lifespan_days
Cinclus_mexicanus	161649	2956.5	AnAge;EOL	lifespan_days
Gasterosteus_aculeatus	69293	2920	AnAge;ADW;fishbase	lifespan_days
Dallia_pectoralis	75939	2920	AnAge;EOL;fishbase	lifespan_days
Apis_mellifera	7460	2920	AnAge	lifespan_days
Archocentrus_centrarchus	63155	2920	en.aqua-fish.net	lifespan_days
Pipistrellus_kuhlii	59472	2920	AnAge	lifespan_days
Zootoca_vivipara	8524	2920	ADW	lifespan_days
Anabas_testudineus	64144	2920	AnAge;EOL	lifespan_days
